document: titleLevel2,hit text: lemma,hit text: word,hit text: pos_full,count,numberOfDocs,subcorpusSize.documents,subcorpusSize.numberOfTokens
Trouw,bloem,bloem,"nou-c(gender=f|m,number=sg)",2,1,66,33056
Trouw,irriteren,geirriteerd,"vrb(finiteness=part,tense=past)",2,2,66,33056
Trouw,menen,menen,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",2,2,66,33056
Algemeen Dagblad,kimball,kimball,nou-p(part-of-multiword=true),2,2,260,101023
NRC,2013,2013,"num(type=card,position=oth|pred)",2,2,76,38378
Trouw,moslim,moslims,nou-c(number=pl),2,1,66,33056
Algemeen Dagblad,kone,kone,nou-p(number=sg),2,1,260,101023
Algemeen Dagblad,overeenkomst,overeenkomst,"nou-c(gender=f|m,number=sg)",2,2,260,101023
Trouw,38,38,"num(type=card,position=prenom)",2,1,66,33056
Het Parool,zelfvoorzienen,zelfvoorzienend,"vrb(finiteness=part,tense=pres)",2,1,36,22852
Algemeen Dagblad,nimf,nimfen,nou-c(number=pl),2,1,260,101023
De Volkskrant,set-up,set-up,"nou-c(gender=f|m,number=sg)",2,1,63,38193
NRC,justitie,justitie,"nou-c(gender=f|m,number=sg)",2,2,76,38378
De Volkskrant,reizen,reist,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",2,2,63,38193
NRC,duur,duur,"nou-c(gender=f|m,number=sg)",2,2,76,38378
Algemeen Dagblad,gistermorgen,gistermorgen,adv(),2,2,260,101023
Algemeen Dagblad,komend,komend,"aa(degree=pos,position=prenom)",2,2,260,101023
Trouw,eduardo,eduardo,nou-p(part-of-multiword=true),2,1,66,33056
Algemeen Dagblad,verschil,verschillen,nou-c(number=pl),2,2,260,101023
Algemeen Dagblad,corporatie,corporatie,"nou-c(gender=f|m,number=sg)",2,2,260,101023
Het Parool,voorzitter,voorzitter,"nou-c(gender=f|m,number=sg)",2,2,36,22852
NRC,voorkomen,voorkomen,vrb(finiteness=ger|inf),2,2,76,38378
NRC,bekend,bekendste,"aa(degree=sup,position=prenom,formal=infl-e)",2,2,76,38378
De Volkskrant,bestuur,bestuur,"nou-c(gender=n,number=sg)",2,2,63,38193
NRC,vermoorden,vermoord,"vrb(finiteness=part,tense=past)",2,2,76,38378
Algemeen Dagblad,tadzjikistan,tadzjikistan,nou-p(number=sg),2,1,260,101023
Trouw,breukelen,breukelen,nou-p(part-of-multiword=true),2,1,66,33056
Algemeen Dagblad,verdovend,verdovende,"aa(degree=pos,position=prenom,formal=infl-e)",2,2,260,101023
Algemeen Dagblad,natalee,natalee,nou-p(number=sg),2,2,260,101023
NRC,verondersteld,veronderstelde,"aa(position=prenom,formal=infl-e,degree=pos)",2,1,76,38378
NRC,gelukken,gelukt,"vrb(finiteness=part,tense=past)",2,2,76,38378
Trouw,bezoeker,bezoeker,"nou-c(gender=f|m,number=sg)",2,2,66,33056
NRC,good,good,res(type=for),2,1,76,38378
De Volkskrant,persoonlijk,persoonlijk,"aa(degree=pos,position=prenom)",2,2,63,38193
NRC,noemen,noemden,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",2,2,76,38378
Trouw,drukbezet,drukbezette,"aa(degree=pos,position=prenom,formal=infl-e)",2,1,66,33056
Trouw,republiek,republiek,"nou-c(gender=f|m,number=sg)",2,1,66,33056
Algemeen Dagblad,vitesse,vitesse,nou-p(number=sg),2,1,260,101023
De Volkskrant,kring,kringen,nou-c(number=pl),2,2,63,38193
Trouw,suzanne,suzanne,nou-p(part-of-multiword=true),2,1,66,33056
Trouw,dochter,dochters,nou-c(number=pl),2,2,66,33056
De Volkskrant,personage,personages,nou-c(number=pl),2,1,63,38193
NRC,onderzoek,onderzoeken,nou-c(number=pl),2,2,76,38378
Algemeen Dagblad,ozcan,ozcan,nou-p(number=sg),2,2,260,101023
Algemeen Dagblad,achterbank,achterbank,"nou-c(gender=f|m,number=sg)",2,2,260,101023
Algemeen Dagblad,entertainment,entertainment,"nou-c(gender=n,number=sg)",2,2,260,101023
NRC,god,god,"nou-c(gender=f|m,number=sg)",2,2,76,38378
Trouw,spelen,speelde,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",2,2,66,33056
Algemeen Dagblad,vernielen,vernield,"vrb(finiteness=part,tense=past)",2,2,260,101023
Het Parool,zeventig,zeventig,"num(type=card,position=oth|pred)",2,1,36,22852
Algemeen Dagblad,arresteren,gearresteerd,"vrb(finiteness=part,tense=past)",2,2,260,101023
De Volkskrant,leiden,leidt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",2,2,63,38193
De Volkskrant,ziekenhuis,ziekenhuizen,nou-c(number=pl),2,2,63,38193
NRC,reageren,gereageerd,"vrb(finiteness=part,tense=past)",2,2,76,38378
Algemeen Dagblad,verkeren,verkeert,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",2,2,260,101023
NRC,spelregel,spelregels,nou-c(number=pl),2,2,76,38378
NRC,maasai,maasai,nou-p(number=sg),2,1,76,38378
De Volkskrant,overbelasten,overbelast,"vrb(finiteness=part,tense=past)",2,2,63,38193
Algemeen Dagblad,speedboot,speedboten,nou-c(number=pl),2,2,260,101023
De Volkskrant,opleiden,opgeleid,"vrb(finiteness=part,tense=past)",2,1,63,38193
NRC,verliezen,verliest,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",2,2,76,38378
Het Parool,cartoonesk,cartoonesk,"aa(degree=pos,position=prenom)",2,1,36,22852
De Volkskrant,alweer,alweer,adv(),2,2,63,38193
NRC,decennium,decennium,"nou-c(gender=n,number=sg)",2,1,76,38378
NRC,thema’,thema’s,nou-c(number=pl),2,2,76,38378
De Volkskrant,aanschaffen,aanschaffen,vrb(finiteness=ger|inf),2,2,63,38193
Trouw,sander,sander,nou-p(number=sg),2,1,66,33056
Algemeen Dagblad,beamen,beaamt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",2,2,260,101023
Het Parool,aanrichten,aangericht,"vrb(finiteness=part,tense=past)",2,1,36,22852
Algemeen Dagblad,moeilijk,moeilijkere,"aa(degree=comp,position=prenom,formal=infl-e)",2,2,260,101023
NRC,trap,trap,"nou-c(gender=f|m,number=sg)",2,2,76,38378
Het Parool,flevopark,flevopark,nou-p(number=sg),2,1,36,22852
Algemeen Dagblad,ongelijk,ongelijke,"aa(degree=pos,position=prenom,formal=infl-e)",2,1,260,101023
Algemeen Dagblad,kappersbeurt,kappersbeurt,"nou-c(gender=f|m,number=sg)",2,2,260,101023
De Volkskrant,human,human,res(type=for),2,2,63,38193
NRC,sluiten,gesloten,"vrb(finiteness=part,tense=past)",2,2,76,38378
Algemeen Dagblad,exoot,exoot,"nou-c(gender=f|m,number=sg)",2,1,260,101023
De Volkskrant,smits,smits,nou-p(part-of-multiword=true),2,1,63,38193
Trouw,schaal,schaal,"nou-c(gender=f|m,number=sg)",2,2,66,33056
Algemeen Dagblad,zogenaamd,zogenaamd,"aa(degree=pos,position=adv|pred)",2,2,260,101023
De Volkskrant,achterblijven,achterblijven,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",2,2,63,38193
Algemeen Dagblad,dekken,gedekt,"vrb(finiteness=part,tense=past)",2,2,260,101023
NRC,beurs,beurs,"nou-c(gender=f|m,number=sg)",2,2,76,38378
Algemeen Dagblad,vaart,vaart,"nou-c(gender=f|m,number=sg)",2,1,260,101023
NRC,machtsmisbruik,machtsmisbruik,"nou-c(gender=n,number=sg)",2,2,76,38378
Trouw,designer,designer,"nou-c(gender=f|m,number=sg)",2,1,66,33056
De Volkskrant,herinneren,herinnert,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",2,2,63,38193
NRC,eurogebied,eurogebied,"nou-c(gender=n,number=sg)",2,1,76,38378
Algemeen Dagblad,onderzoeksbureau,onderzoeksbureau,"nou-c(gender=n,number=sg)",2,2,260,101023
Trouw,coach,coaches,nou-c(number=pl),2,1,66,33056
Trouw,label,label,"nou-c(gender=n,number=sg)",2,1,66,33056
NRC,onenigheid,onenigheid,"nou-c(gender=f|m,number=sg)",2,1,76,38378
Trouw,uitleggen,uitleggen,vrb(finiteness=ger|inf),2,2,66,33056
Algemeen Dagblad,hekkensluiter,hekkensluiter,"nou-c(gender=f|m,number=sg)",2,1,260,101023
NRC,perspectief,perspectief,"nou-c(gender=n,number=sg)",2,2,76,38378
De Volkskrant,elena,elena,nou-p(number=sg),2,1,63,38193
Algemeen Dagblad,anderhalf,anderhalf,"num(type=card,position=prenom)",2,2,260,101023
NRC,zestien,zestien,"num(type=card,position=prenom)",2,2,76,38378
Algemeen Dagblad,28-jarig,28-jarige,"aa(degree=pos,position=prenom,formal=infl-e)",2,2,260,101023
Algemeen Dagblad,rianne,rianne,nou-p(part-of-multiword=true),2,2,260,101023
Het Parool,inzetten,ingezet,"vrb(finiteness=part,tense=past)",2,2,36,22852
Trouw,oranje-selectie,oranje-selectie,"nou-c(gender=f|m,number=sg)",2,1,66,33056
Algemeen Dagblad,bebouwd,bebouwde,"aa(position=prenom,formal=infl-e,degree=pos)",2,2,260,101023
NRC,expliciet,expliciet,"aa(degree=pos,position=adv|pred)",2,2,76,38378
NRC,houden,hield,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",2,1,76,38378
Trouw,verduurzaming,verduurzaming,"nou-c(gender=f|m,number=sg)",2,1,66,33056
NRC,plaatsen,plaatst,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",2,2,76,38378
Algemeen Dagblad,zomermaand,zomermaanden,nou-c(number=pl),2,2,260,101023
Het Parool,nabestaande,nabestaanden,nou-c(number=pl),2,1,36,22852
Het Parool,brighton,brighton,nou-p(number=sg),2,1,36,22852
De Volkskrant,sparren,sparren,vrb(finiteness=ger|inf),2,1,63,38193
NRC,universitair,universitair,"aa(degree=pos,position=prenom)",2,1,76,38378
Algemeen Dagblad,blijvend,blijvende,"aa(degree=pos,position=prenom,formal=infl-e)",2,1,260,101023
Trouw,veroordelen,veroordelen,vrb(finiteness=ger|inf),2,1,66,33056
NRC,indertijd,indertijd,adv(),2,2,76,38378
NRC,resultaat,resultaten,nou-c(number=pl),2,2,76,38378
Trouw,inrichting,inrichtingen,nou-c(number=pl),2,1,66,33056
Algemeen Dagblad,uitgebrand,uitgebrande,"aa(degree=pos,position=prenom,formal=infl-e)",2,2,260,101023
Algemeen Dagblad,fruitteler,fruitteler,"nou-c(gender=f|m,number=sg)",2,1,260,101023
De Volkskrant,16,16,"num(type=card,position=oth|pred)",2,2,63,38193
Algemeen Dagblad,dodelijk,dodelijke,"aa(degree=pos,position=prenom,formal=infl-e)",2,2,260,101023
Het Parool,bladzijde,bladzijden,nou-c(number=pl),2,1,36,22852
Algemeen Dagblad,dalen,daalde,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",2,2,260,101023
De Volkskrant,marioepol,marioepol,nou-p(number=sg),2,2,63,38193
Algemeen Dagblad,rivaal,rivaal,"nou-c(gender=f|m,number=sg)",2,2,260,101023
De Volkskrant,vergiftigen,vergiftigen,vrb(finiteness=ger|inf),2,1,63,38193
De Volkskrant,kampen,kampen,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",2,2,63,38193
Het Parool,favoriet,favoriete,"aa(degree=pos,position=prenom,formal=infl-e)",2,1,36,22852
Trouw,titel,titel,"nou-c(gender=f|m,number=sg)",2,1,66,33056
Algemeen Dagblad,uitlaten,uitgelaten,"vrb(finiteness=part,tense=past)",2,2,260,101023
Algemeen Dagblad,shirt,shirt,"nou-c(gender=n,number=sg)",2,2,260,101023
Algemeen Dagblad,recreatiegebied,recreatiegebied,"nou-c(gender=n,number=sg)",2,2,260,101023
De Volkskrant,fassari,fassari,nou-p(number=sg),2,1,63,38193
NRC,poot,poten,nou-c(number=pl),2,1,76,38378
De Volkskrant,fassari,fassari,nou-p(part-of-multiword=true),2,1,63,38193
Algemeen Dagblad,fluiten,fluiten,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",2,2,260,101023
Algemeen Dagblad,junk,junks,nou-c(number=pl),2,1,260,101023
NRC,scabreus,scabreuze,"aa(degree=pos,position=prenom,formal=infl-e)",2,1,76,38378
Algemeen Dagblad,seizoenseditie,seizoenseditie,"nou-c(gender=f|m,number=sg)",2,2,260,101023
Algemeen Dagblad,onzinbieding,onzinbiedingen,nou-c(number=pl),2,1,260,101023
Trouw,beamen,beaamt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",2,2,66,33056
Algemeen Dagblad,seal,seal,"nou-c(gender=n,number=sg)",2,1,260,101023
NRC,israelier,israeliers,nou-c(number=pl),2,2,76,38378
NRC,woning,woningen,nou-c(number=pl),2,2,76,38378
Trouw,niets,niets,adv(),2,1,66,33056
NRC,strafwerktuig,strafwerktuig,"nou-c(gender=f|m,number=sg)",2,1,76,38378
NRC,amsterdams,amsterdamse,"aa(degree=pos,position=prenom,formal=infl-e)",2,2,76,38378
De Volkskrant,simon,simon,nou-p(part-of-multiword=true),2,1,63,38193
NRC,snor,snor,"nou-c(gender=f|m,number=sg)",2,2,76,38378
Trouw,extreem,extreme,"aa(degree=pos,position=prenom,formal=infl-e)",2,1,66,33056
Het Parool,misleidend,misleidende,"aa(degree=pos,position=prenom,formal=infl-e)",2,1,36,22852
Algemeen Dagblad,scene,scenes,nou-c(number=pl),2,1,260,101023
Trouw,seconde,seconden,nou-c(number=pl),2,2,66,33056
NRC,muzikaal,muzikale,"aa(degree=pos,position=prenom,formal=infl-e)",2,1,76,38378
NRC,w,w,res(type=sym),2,1,76,38378
De Volkskrant,la,la,res(type=for),2,1,63,38193
Trouw,relatie,relatie,"nou-c(gender=f|m,number=sg)",2,2,66,33056
Het Parool,achten,acht,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",2,1,36,22852
NRC,verminderd,verminderde,"aa(position=prenom,formal=infl-e,degree=pos)",2,2,76,38378
Algemeen Dagblad,tegenkomen,tegenkomen,vrb(finiteness=ger|inf),2,2,260,101023
NRC,aanklager,aanklagers,nou-c(number=pl),2,1,76,38378
Trouw,balans,balans,"nou-c(gender=f|m,number=sg)",2,1,66,33056
De Volkskrant,sociaal,sociaal,"aa(degree=pos,position=adv|pred)",2,2,63,38193
Algemeen Dagblad,35,35,"num(type=card,position=oth|pred)",2,2,260,101023
De Volkskrant,los,los,nou-p(part-of-multiword=true),2,1,63,38193
NRC,zitten,zaten,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",2,2,76,38378
Het Parool,verdwijnen,verdwenen,"vrb(finiteness=part,tense=past)",2,2,36,22852
Trouw,structureel,structureel,"aa(degree=pos,position=prenom)",2,2,66,33056
Algemeen Dagblad,lef,lef,"nou-c(gender=f|m,number=sg)",2,2,260,101023
De Volkskrant,los,los,"aa(degree=pos,position=adv|pred)",2,2,63,38193
Trouw,arbeidersklasse,arbeidersklasse,"nou-c(gender=f|m,number=sg)",2,1,66,33056
NRC,robin,robin,nou-p(part-of-multiword=true),2,2,76,38378
Trouw,kiezer,kiezers,nou-c(number=pl),2,2,66,33056
NRC,sensueel,sensuele,"aa(degree=pos,position=prenom,formal=infl-e)",2,1,76,38378
De Volkskrant,verzwaring,verzwaring,"nou-c(gender=f|m,number=sg)",2,1,63,38193
De Volkskrant,se,se,res(type=for),2,2,63,38193
Algemeen Dagblad,muur,muurtje,"nou-c(gender=n,number=sg)",2,2,260,101023
De Volkskrant,voldoening,voldoening,"nou-c(gender=f|m,number=sg)",2,2,63,38193
NRC,controle,controle,"nou-c(gender=f|m,number=sg)",2,2,76,38378
Algemeen Dagblad,momentje,momentje,"nou-c(gender=n,number=sg)",2,1,260,101023
De Volkskrant,toegevoegd,toegevoegde,"aa(position=prenom,formal=infl-e,degree=pos)",2,1,63,38193
Algemeen Dagblad,traag,trager,"aa(degree=comp,position=adv|pred)",2,1,260,101023
Het Parool,30,30,"num(type=card,position=oth|pred)",2,1,36,22852
Algemeen Dagblad,leeds,leeds,nou-p(part-of-multiword=true),2,2,260,101023
De Volkskrant,roepen,riep,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",2,2,63,38193
Het Parool,bepalen,bepaald,"vrb(finiteness=part,tense=past)",2,2,36,22852
NRC,brengen,gebracht,"vrb(finiteness=part,tense=past)",2,2,76,38378
NRC,lek,lek,"nou-c(gender=n,number=sg)",2,1,76,38378
NRC,behoren,behoren,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",2,2,76,38378
Het Parool,maken,maakten,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",2,2,36,22852
De Volkskrant,"0,1","0,1","num(type=card,position=prenom)",2,1,63,38193
De Volkskrant,limburg,limburg,nou-p(number=sg),2,2,63,38193
De Volkskrant,blijven,gebleven,"vrb(finiteness=part,tense=past)",2,2,63,38193
Algemeen Dagblad,individueel,individueel,"aa(degree=pos,position=adv|pred)",2,2,260,101023
Algemeen Dagblad,duel,duels,nou-c(number=pl),2,2,260,101023
Trouw,herkennen,herkent,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",2,2,66,33056
Het Parool,stopera,stopera,nou-p(number=sg),2,1,36,22852
Algemeen Dagblad,slapen,sliep,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",2,2,260,101023
De Volkskrant,amper,amper,adv(),2,2,63,38193
De Volkskrant,baccala,baccala,nou-p(number=sg),2,1,63,38193
Algemeen Dagblad,trapje,trapje,"nou-c(gender=n,number=sg)",2,2,260,101023
NRC,aantreffen,aantreft,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",2,1,76,38378
Algemeen Dagblad,volksparkstadion,volksparkstadion,nou-p(number=sg),2,1,260,101023
Het Parool,jaarlijks,jaarlijks,"aa(degree=pos,position=adv|pred)",2,2,36,22852
Algemeen Dagblad,bankje,bankje,"nou-c(gender=n,number=sg)",2,2,260,101023
Algemeen Dagblad,carillon,carillon,"nou-c(gender=n,number=sg)",2,2,260,101023
Trouw,wakker,wakker,"aa(degree=pos,position=adv|pred)",2,1,66,33056
De Volkskrant,uitgebreid,uitgebreide,"aa(position=prenom,formal=infl-e,degree=pos)",2,2,63,38193
Algemeen Dagblad,reinout,reinout,nou-p(part-of-multiword=true),2,1,260,101023
NRC,makkelijk,makkelijker,"aa(degree=comp,position=adv|pred)",2,2,76,38378
De Volkskrant,swift,swift,nou-p(number=sg),2,2,63,38193
Algemeen Dagblad,keuren,keuren,vrb(finiteness=ger|inf),2,2,260,101023
Algemeen Dagblad,veertig,veertig,"num(type=card,position=oth|pred)",2,2,260,101023
Het Parool,berlijn,berlijn,nou-p(number=sg),2,2,36,22852
Algemeen Dagblad,koste,koste,"nou-c(number=sg,case=dat)",2,2,260,101023
Algemeen Dagblad,werkdag,werkdag,"nou-c(gender=f|m,number=sg)",2,2,260,101023
Het Parool,persoonlijk,persoonlijk,"aa(degree=pos,position=adv|pred)",2,2,36,22852
Algemeen Dagblad,lijken,leken,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",2,2,260,101023
Algemeen Dagblad,neerzetten,neergezet,"vrb(finiteness=part,tense=past)",2,2,260,101023
Trouw,veiligheidsdienst,veiligheidsdiensten,nou-c(number=pl),2,1,66,33056
NRC,plicht,plicht,"nou-c(gender=f|m,number=sg)",2,2,76,38378
Algemeen Dagblad,detail,detail,"nou-c(gender=n,number=sg)",2,2,260,101023
NRC,bereid,bereid,"aa(degree=pos,position=adv|pred)",2,2,76,38378
De Volkskrant,"0,2","0,2","num(type=card,position=prenom)",2,1,63,38193
NRC,auteur,auteur,"nou-c(gender=f|m,number=sg)",2,2,76,38378
Algemeen Dagblad,onderwerp,onderwerpen,nou-c(number=pl),2,1,260,101023
NRC,slagen,geslaagd,"vrb(finiteness=part,tense=past)",2,1,76,38378
NRC,horen,hoorde,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",2,2,76,38378
NRC,transactie,transacties,nou-c(number=pl),2,1,76,38378
De Volkskrant,bedenken,bedenken,vrb(finiteness=ger|inf),2,2,63,38193
Trouw,talkshow,talkshow,"nou-c(gender=f|m,number=sg)",2,1,66,33056
Het Parool,amerikaan,amerikanen,nou-c(number=pl),2,1,36,22852
Algemeen Dagblad,leeg,leeg,"aa(degree=pos,position=adv|pred)",2,2,260,101023
Het Parool,lopend,lopende,"aa(degree=pos,position=prenom,formal=infl-e)",2,2,36,22852
De Volkskrant,herkenning,herkenning,"nou-c(gender=f|m,number=sg)",2,1,63,38193
De Volkskrant,ingewikkeld,ingewikkeld,"aa(degree=pos,position=adv|pred)",2,1,63,38193
Het Parool,toerisme,toerisme,"nou-c(gender=n,number=sg)",2,1,36,22852
NRC,breakfast,breakfast,res(type=for),2,1,76,38378
De Volkskrant,telkens,telkens,adv(),2,2,63,38193
Algemeen Dagblad,hoede,hoede,"nou-c(gender=f|m,number=sg)",2,2,260,101023
Het Parool,muur,muren,nou-c(number=pl),2,2,36,22852
NRC,automatisch,automatisch,"aa(degree=pos,position=adv|pred)",2,2,76,38378
Algemeen Dagblad,gemeentelijk,gemeentelijk,"aa(degree=pos,position=prenom)",2,2,260,101023
Trouw,naam,namen,nou-c(number=pl),2,1,66,33056
Algemeen Dagblad,ecosysteem,ecosysteem,"nou-c(gender=n,number=sg)",2,1,260,101023
NRC,kleden,gekleed,"vrb(finiteness=part,tense=past)",2,2,76,38378
Trouw,automatisch,automatisch,"aa(degree=pos,position=adv|pred)",2,2,66,33056
Algemeen Dagblad,gastles,gastles,"nou-c(gender=f|m,number=sg)",2,2,260,101023
NRC,hardwerkend,hardwerkende,"aa(degree=pos,position=prenom,formal=infl-e)",2,2,76,38378
De Volkskrant,platform,platform,"nou-c(gender=n,number=sg)",2,2,63,38193
Algemeen Dagblad,vinger,vingers,nou-c(number=pl),2,1,260,101023
NRC,moederbedrijf,moederbedrijf,"nou-c(gender=n,number=sg)",2,2,76,38378
NRC,niks,niks,"pd(type=indef,position=pron)",2,2,76,38378
Trouw,liggen,liggen,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",2,2,66,33056
Het Parool,angela,angela,nou-p(part-of-multiword=true),2,1,36,22852
Algemeen Dagblad,vorderen,vorderen,vrb(finiteness=ger|inf),2,1,260,101023
Het Parool,joost,joost,nou-p(part-of-multiword=true),2,1,36,22852
Het Parool,alex,alex,nou-p(part-of-multiword=true),2,1,36,22852
NRC,gezin,gezinnen,nou-c(number=pl),2,2,76,38378
De Volkskrant,antony,antony,nou-p(part-of-multiword=true),2,1,63,38193
Algemeen Dagblad,streamingdienst,streamingdienst,"nou-c(gender=f|m,number=sg)",2,2,260,101023
De Volkskrant,populariteit,populariteit,"nou-c(gender=f|m,number=sg)",2,2,63,38193
Het Parool,oprichten,opgericht,"vrb(finiteness=part,tense=past)",2,2,36,22852
NRC,geteisterd,geteisterde,"aa(position=prenom,formal=infl-e,degree=pos)",2,1,76,38378
Trouw,gave,gave,"nou-c(gender=f|m,number=sg)",2,2,66,33056
NRC,tonen,getoond,"vrb(finiteness=part,tense=past)",2,2,76,38378
De Volkskrant,school,school,nou-p(part-of-multiword=true),2,1,63,38193
Algemeen Dagblad,manager,managers,nou-c(number=pl),2,1,260,101023
Trouw,villa,villa,"nou-c(gender=f|m,number=sg)",2,1,66,33056
Algemeen Dagblad,1642,1642,"num(type=card,position=oth|pred)",2,1,260,101023
Trouw,verband,verband,"nou-c(gender=n,number=sg)",2,2,66,33056
Het Parool,titel,titel,"nou-c(gender=f|m,number=sg)",2,2,36,22852
NRC,afloop,afloop,"nou-c(gender=f|m,number=sg)",2,2,76,38378
Algemeen Dagblad,eyes,eyes,res(type=for),2,1,260,101023
De Volkskrant,glad,glad,"aa(degree=pos,position=prenom)",2,1,63,38193
NRC,intiem,intieme,"aa(degree=pos,position=prenom,formal=infl-e)",2,1,76,38378
NRC,begaan,begaan,"vrb(finiteness=part,tense=past)",2,2,76,38378
NRC,persoon,personen,nou-c(number=pl),2,2,76,38378
Algemeen Dagblad,kilowattuur,kilowattuur,"nou-c(gender=f|m,number=sg)",2,2,260,101023
NRC,mentaal,mentaal,"aa(degree=pos,position=prenom)",2,1,76,38378
Algemeen Dagblad,ibiza,ibiza,nou-p(number=sg),2,2,260,101023
Algemeen Dagblad,zevenhonderd,zevenhonderd,"num(type=card,position=prenom)",2,2,260,101023
De Volkskrant,pop,pop,"nou-c(gender=f|m,number=sg)",2,2,63,38193
De Volkskrant,kennen,kent,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",2,2,63,38193
NRC,inkomen,inkomen,"nou-c(gender=n,number=sg)",2,2,76,38378
Algemeen Dagblad,weelderig,weelderige,"aa(degree=pos,position=prenom,formal=infl-e)",2,2,260,101023
Trouw,mogelijk,mogelijke,"aa(degree=pos,position=prenom,formal=infl-e)",2,2,66,33056
NRC,gisteren,gisteren,adv(),2,2,76,38378
Algemeen Dagblad,bob,bob,nou-p(number=sg),2,1,260,101023
Algemeen Dagblad,gulsen,gulsen,nou-p(number=sg),2,1,260,101023
Algemeen Dagblad,lier,lier,"nou-c(gender=f|m,number=sg)",2,1,260,101023
Algemeen Dagblad,uitsluiting,uitsluiting,"nou-c(gender=f|m,number=sg)",2,1,260,101023
Het Parool,bereiken,bereikt,"vrb(finiteness=part,tense=past)",2,2,36,22852
Algemeen Dagblad,ov-fiets,ov-fiets,"pd(type=indef,position=pron)",2,1,260,101023
Algemeen Dagblad,wegens,wegens,adp(type=pre),2,2,260,101023
Trouw,brengen,gebracht,"vrb(finiteness=part,tense=past)",2,2,66,33056
Trouw,mengistu,mengistu,nou-p(number=sg),2,1,66,33056
De Volkskrant,moral,moral,nou-p(part-of-multiword=true),2,1,63,38193
Het Parool,weleens,weleens,adv(),2,2,36,22852
Algemeen Dagblad,wenselijk,wenselijk,"aa(degree=pos,position=adv|pred)",2,2,260,101023
Algemeen Dagblad,gemeentebestuur,gemeentebestuur,"nou-c(gender=n,number=sg)",2,2,260,101023
NRC,bestemmen,bestemd,"vrb(finiteness=part,tense=past)",2,1,76,38378
Het Parool,ticket,ticket,"nou-c(gender=n,number=sg)",2,2,36,22852
Trouw,bezighouden,bezighouden,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",2,2,66,33056
De Volkskrant,vormen,vormt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",2,2,63,38193
NRC,erom,erom,adv(),2,2,76,38378
Het Parool,oprichter,oprichter,"nou-c(gender=f|m,number=sg)",2,2,36,22852
Het Parool,eraan,eraan,adv(),2,1,36,22852
Algemeen Dagblad,koolsoep,koolsoep,"nou-c(gender=f|m,number=sg)",2,1,260,101023
NRC,kamerman,kamerman,nou-p(part-of-multiword=true),2,1,76,38378
NRC,escapisme,escapisme,"nou-c(gender=n,number=sg)",2,1,76,38378
Algemeen Dagblad,woudstra,woudstra,nou-p(part-of-multiword=true),2,2,260,101023
NRC,min,min,"nou-c(gender=f|m,number=sg)",2,1,76,38378
Trouw,datum,data,nou-c(number=pl),2,1,66,33056
De Volkskrant,dader,daders,nou-c(number=pl),2,1,63,38193
Het Parool,afgelopen,afgelopen,"aa(degree=pos,position=prenom)",2,1,36,22852
Trouw,concertgebouw,concertgebouw,"nou-c(gender=n,number=sg)",2,1,66,33056
Het Parool,verdienen,verdienen,vrb(finiteness=ger|inf),2,2,36,22852
Trouw,activiteit,activiteiten,nou-c(number=pl),2,2,66,33056
De Volkskrant,blijven,bleven,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",2,2,63,38193
