document: titleLevel2,hit text: lemma,hit text: word,hit text: pos_full,count,numberOfDocs,subcorpusSize.documents,subcorpusSize.numberOfTokens
Het Nieuwsblad,innemen,ingenomen,"vrb(finiteness=part,tense=past)",4,4,954,142827
De Ware Tijd,echtgenote,echtgenote,"nou-c(gender=f|m,number=sg)",4,4,76,28561
De Ware Tijd,juridisch,juridische,"aa(degree=pos,position=prenom,formal=infl-e)",4,4,76,28561
Het Nieuwsblad,joachim,joachim,nou-p(part-of-multiword=true),4,2,954,142827
Het Nieuwsblad,verhoye,verhoye,nou-p(number=sg),4,1,954,142827
Het Nieuwsblad,as,as,res(type=sym),4,2,954,142827
Het Nieuwsblad,afslaan,afslaan,vrb(finiteness=ger|inf),4,3,954,142827
Het Nieuwsblad,ontbreken,ontbraken,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",4,4,954,142827
Het Nieuwsblad,bos,bos,"nou-c(gender=n,number=sg)",4,4,954,142827
Gazet van Antwerpen,leekens,leekens,nou-p(number=sg),4,1,229,28264
Gazet van Antwerpen,binnenkort,binnenkort,adv(),4,4,229,28264
Gazet van Antwerpen,toekomst,toekomst,"nou-c(gender=f|m,number=sg)",4,3,229,28264
Het Belang van Limburg,veroordelen,veroordeeld,"vrb(finiteness=part,tense=past)",4,3,81,8993
De Ware Tijd,inzetten,inzetten,vrb(finiteness=ger|inf),4,4,76,28561
Het Nieuwsblad,klinken,klonk,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",4,4,954,142827
De Ware Tijd,autobom,autobom,"nou-c(gender=f|m,number=sg)",4,2,76,28561
Het Nieuwsblad,badminton,badminton,"nou-c(gender=n,number=sg)",4,4,954,142827
Gazet van Antwerpen,sector,sector,"nou-c(gender=f|m,number=sg)",4,3,229,28264
Het Nieuwsblad,tichelt,tichelt,nou-p(part-of-multiword=true),4,1,954,142827
De Ware Tijd,mirelva,mirelva,nou-p(part-of-multiword=true),4,2,76,28561
Het Nieuwsblad,inspiratie,inspiratie,"nou-c(gender=f|m,number=sg)",4,3,954,142827
Het Nieuwsblad,alan,alan,nou-p(part-of-multiword=true),4,3,954,142827
Het Nieuwsblad,vleermuis,vleermuizen,nou-c(number=pl),4,1,954,142827
Het Nieuwsblad,vechtlust,vechtlust,"nou-c(gender=f|m,number=sg)",4,4,954,142827
De Ware Tijd,instructeur,instructeur,"nou-c(gender=f|m,number=sg)",4,2,76,28561
De Standaard,bodem,bodem,"nou-c(gender=f|m,number=sg)",4,4,148,48749
De Standaard,musical,musical,"nou-c(gender=f|m,number=sg)",4,1,148,48749
Gazet van Antwerpen,document,documenten,nou-c(number=pl),4,1,229,28264
Het Nieuwsblad,zulk,zulke,"pd(type=dem,position=prenom)",4,3,954,142827
Het Nieuwsblad,topper,topper,"nou-c(gender=f|m,number=sg)",4,4,954,142827
Gazet van Antwerpen,normaal,normaal,"aa(degree=pos,position=adv|pred)",4,4,229,28264
Het Nieuwsblad,plattelandsgemeente,plattelandsgemeenten,nou-c(number=pl),4,2,954,142827
Het Nieuwsblad,emiel,emiel,nou-p(part-of-multiword=true),4,4,954,142827
Het Nieuwsblad,nathalie,nathalie,nou-p(part-of-multiword=true),4,4,954,142827
De Ware Tijd,eerder,eerder,"aa(degree=pos,position=adv|pred)",4,4,76,28561
De Ware Tijd,vergadering,vergadering,"nou-c(gender=f|m,number=sg)",4,3,76,28561
Het Nieuwsblad,verwonderlijk,verwonderlijk,"aa(degree=pos,position=adv|pred)",4,4,954,142827
Gazet van Antwerpen,verhofstadt,verhofstadt,nou-p(part-of-multiword=true),4,3,229,28264
Gazet van Antwerpen,verhofstadt,verhofstadt,nou-p(number=sg),4,3,229,28264
De Ware Tijd,kappen,gekapt,"vrb(finiteness=part,tense=past)",4,2,76,28561
De Standaard,ierland,ierland,nou-p(number=sg),4,3,148,48749
Het Nieuwsblad,vermeiren,vermeiren,nou-p(number=sg),4,3,954,142827
De Standaard,mobiliteit,mobiliteit,"nou-c(gender=f|m,number=sg)",4,4,148,48749
Gazet van Antwerpen,vluchteling,vluchtelingen,nou-c(number=pl),4,1,229,28264
De Standaard,ulb,ulb,nou-p(number=sg),4,2,148,48749
Gazet van Antwerpen,waarom,waarom,adv(),4,4,229,28264
De Standaard,aziz,aziz,nou-p(number=sg),4,1,148,48749
De Standaard,slaan,slaan,vrb(finiteness=ger|inf),4,3,148,48749
Het Nieuwsblad,gans,ganse,"aa(degree=pos,position=prenom,formal=infl-e)",4,4,954,142827
Het Nieuwsblad,opvangen,opgevangen,"vrb(finiteness=part,tense=past)",4,3,954,142827
De Ware Tijd,brunswijk,brunswijk,nou-p(part-of-multiword=true),4,2,76,28561
De Ware Tijd,onderwijsbeleid,onderwijsbeleid,"nou-c(gender=n,number=sg)",4,2,76,28561
De Standaard,asse,asse,nou-p(number=sg),4,1,148,48749
De Standaard,krolock,krolock,nou-p(part-of-multiword=true),4,1,148,48749
De Ware Tijd,duur,duur,"aa(degree=pos,position=adv|pred)",4,4,76,28561
Gazet van Antwerpen,voorbij,voorbije,"aa(degree=pos,position=prenom,formal=infl-e)",4,4,229,28264
Het Nieuwsblad,steenbergen,steenbergen,nou-p(part-of-multiword=true),4,4,954,142827
Het Belang van Limburg,elk,elke,"pd(type=indef,position=prenom)",4,4,81,8993
De Ware Tijd,aanleggen,aangelegd,"vrb(finiteness=part,tense=past)",4,4,76,28561
De Standaard,verlatingsangst,verlatingsangst,"nou-c(gender=f|m,number=sg)",4,1,148,48749
De Ware Tijd,uitroepen,uitgeroepen,"vrb(finiteness=part,tense=past)",4,2,76,28561
Het Nieuwsblad,schuiven,schuiven,vrb(finiteness=ger|inf),4,4,954,142827
Het Nieuwsblad,danken,danken,vrb(finiteness=ger|inf),4,4,954,142827
De Ware Tijd,minuut,minuut,"nou-c(gender=f|m,number=sg)",4,2,76,28561
De Standaard,leiden,geleid,"vrb(finiteness=part,tense=past)",4,3,148,48749
De Standaard,bouwen,gebouwd,"vrb(finiteness=part,tense=past)",4,3,148,48749
De Standaard,ena,ena,nou-p(number=sg),4,2,148,48749
Het Belang van Limburg,jammer,jammer,"aa(degree=pos,position=adv|pred)",4,2,81,8993
Gazet van Antwerpen,werken,werken,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",4,4,229,28264
De Standaard,parkinson,parkinson,"nou-c(gender=f|m,number=sg)",4,1,148,48749
De Standaard,40,40,"num(type=card,position=oth|pred)",4,4,148,48749
Het Nieuwsblad,geloven,geloof,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",4,4,954,142827
Gazet van Antwerpen,ploeg,ploeg,"nou-c(gender=f|m,number=sg)",4,4,229,28264
Het Nieuwsblad,vital,vital,nou-p(part-of-multiword=true),4,2,954,142827
Het Nieuwsblad,geeraerts,geeraerts,nou-p(number=sg),4,3,954,142827
Het Nieuwsblad,bang,bang,"aa(degree=pos,position=adv|pred)",4,3,954,142827
De Standaard,beschouwen,beschouwd,"vrb(finiteness=part,tense=past)",4,3,148,48749
Het Nieuwsblad,ogen,oogt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",4,4,954,142827
Het Nieuwsblad,spijtig,spijtig,"aa(degree=pos,position=adv|pred)",4,4,954,142827
Het Nieuwsblad,sint-kruis,sint-kruis,nou-p(number=sg),4,3,954,142827
Het Nieuwsblad,leverancier,leveranciers,nou-c(number=pl),4,2,954,142827
De Ware Tijd,lesley,lesley,nou-p(part-of-multiword=true),4,4,76,28561
De Standaard,aanpakken,aangepakt,"vrb(finiteness=part,tense=past)",4,4,148,48749
Gazet van Antwerpen,lang,lang,"aa(degree=pos,position=adv|pred)",4,4,229,28264
De Ware Tijd,ondersteunen,ondersteund,"vrb(finiteness=part,tense=past)",4,4,76,28561
De Ware Tijd,ontwikkelen,ontwikkeld,"vrb(finiteness=part,tense=past)",4,4,76,28561
De Ware Tijd,kim,kim,"nou-c(gender=f|m,number=sg)",4,2,76,28561
Het Nieuwsblad,vandamme,vandamme,nou-p(number=sg),4,4,954,142827
Het Nieuwsblad,ontstaan,ontstaat,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",4,4,954,142827
Het Nieuwsblad,meermaals,meermaals,adv(),4,4,954,142827
Het Nieuwsblad,spoorlijn,spoorlijn,"nou-c(gender=f|m,number=sg)",4,3,954,142827
Het Nieuwsblad,winkelstraat,winkelstraten,nou-c(number=pl),4,2,954,142827
Het Nieuwsblad,"3,5","3,5","num(type=card,position=prenom)",4,4,954,142827
Het Nieuwsblad,hetzelfde,hetzelfde,"aa(degree=pos,position=adv|pred)",4,4,954,142827
De Ware Tijd,garanderen,garanderen,vrb(finiteness=ger|inf),4,4,76,28561
Het Nieuwsblad,repetitie,repetitie,"nou-c(gender=f|m,number=sg)",4,3,954,142827
Het Nieuwsblad,angst,angst,"nou-c(gender=f|m,number=sg)",4,4,954,142827
De Ware Tijd,museum,museum,"nou-c(gender=n,number=sg)",4,2,76,28561
De Ware Tijd,vierkant,vierkant,"aa(degree=pos,position=adv|pred)",4,2,76,28561
De Ware Tijd,sarakreekgebied,sarakreekgebied,"nou-c(gender=n,number=sg)",4,2,76,28561
Het Nieuwsblad,5-3,5-3,res(type=sym),4,1,954,142827
Gazet van Antwerpen,ervoor,ervoor,adv(),4,4,229,28264
De Standaard,jeroen,jeroen,nou-p(part-of-multiword=true),4,2,148,48749
Het Nieuwsblad,merchtem,merchtem,nou-p(number=sg),4,4,954,142827
De Standaard,opzettelijk,opzettelijke,"aa(degree=pos,position=prenom,formal=infl-e)",4,2,148,48749
Het Nieuwsblad,denys,denys,nou-p(part-of-multiword=true),4,4,954,142827
Het Nieuwsblad,graad,graad,"nou-c(gender=f|m,number=sg)",4,4,954,142827
De Standaard,beslissen,beslist,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",4,4,148,48749
Het Nieuwsblad,professioneel,professionele,"aa(degree=pos,position=prenom,formal=infl-e)",4,4,954,142827
De Ware Tijd,sector,sector,"nou-c(gender=f|m,number=sg)",4,4,76,28561
Het Nieuwsblad,ster,ster,"nou-c(gender=f|m,number=sg)",4,3,954,142827
Het Nieuwsblad,theo,theo,nou-p(part-of-multiword=true),4,2,954,142827
De Standaard,taak,taak,"nou-c(gender=f|m,number=sg)",4,4,148,48749
Het Nieuwsblad,s.,s.,nou-p(part-of-multiword=true),4,2,954,142827
De Ware Tijd,overlaten,overgelaten,"vrb(finiteness=part,tense=past)",4,4,76,28561
Het Nieuwsblad,of,of,res(type=for),4,4,954,142827
De Standaard,bus,bussen,nou-c(number=pl),4,2,148,48749
Het Nieuwsblad,westhoek,westhoek,nou-p(number=sg),4,3,954,142827
De Ware Tijd,barka,barka,nou-p(number=sg),4,2,76,28561
Gazet van Antwerpen,diens,diens,"pd(type=dem,position=pron,case=gen)",4,4,229,28264
Het Nieuwsblad,rob,rob,nou-p(part-of-multiword=true),4,4,954,142827
Het Nieuwsblad,leiden,leidde,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",4,4,954,142827
Het Nieuwsblad,fors,forse,"aa(degree=pos,position=prenom,formal=infl-e)",4,4,954,142827
De Standaard,turk,turken,nou-c(number=pl),4,3,148,48749
De Ware Tijd,auto,auto,"nou-c(gender=f|m,number=sg)",4,4,76,28561
Het Nieuwsblad,bezoeken,bezoekende,"aa(degree=pos,position=prenom,formal=infl-e)",4,4,954,142827
Het Nieuwsblad,aanspraak,aanspraak,"nou-c(gender=f|m,number=sg)",4,4,954,142827
De Standaard,9,9,"num(type=card,position=oth|pred)",4,4,148,48749
Het Nieuwsblad,73,73,"num(type=card,position=oth|pred)",4,3,954,142827
Het Nieuwsblad,portret,portretten,nou-c(number=pl),4,3,954,142827
Gazet van Antwerpen,aanspreken,aangesproken,"vrb(finiteness=part,tense=past)",4,2,229,28264
Het Nieuwsblad,dorpskern,dorpskernen,nou-c(number=pl),4,2,954,142827
De Standaard,ontvangen,ontvangen,"vrb(finiteness=part,tense=past)",4,4,148,48749
Het Nieuwsblad,openingstreffer,openingstreffer,"nou-c(gender=f|m,number=sg)",4,4,954,142827
Het Nieuwsblad,inschrijving,inschrijvingen,nou-c(number=pl),4,4,954,142827
De Ware Tijd,trend,trend,"nou-c(gender=f|m,number=sg)",4,4,76,28561
Het Nieuwsblad,pad,pad,"nou-c(gender=n,number=sg)",4,4,954,142827
De Ware Tijd,rgb,rgb,nou-p(number=sg),4,2,76,28561
De Ware Tijd,liefdevol,liefdevolle,"aa(degree=pos,position=prenom,formal=infl-e)",4,2,76,28561
Het Nieuwsblad,handig,handig,"aa(degree=pos,position=adv|pred)",4,4,954,142827
Het Nieuwsblad,ondervinden,ondervond,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",4,4,954,142827
De Ware Tijd,dorenas,dorenas,nou-p(number=sg),4,2,76,28561
Gazet van Antwerpen,befo,befo,nou-p(number=sg),4,4,229,28264
De Ware Tijd,bijdrage,bijdrage,"nou-c(gender=f|m,number=sg)",4,4,76,28561
Het Nieuwsblad,versterken,versterken,vrb(finiteness=ger|inf),4,3,954,142827
Het Nieuwsblad,omvatten,omvat,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",4,4,954,142827
Het Nieuwsblad,enerzijds,enerzijds,adv(),4,4,954,142827
Het Nieuwsblad,boudewijn,boudewijn,nou-p(number=sg),4,2,954,142827
Het Nieuwsblad,rechterflank,rechterflank,"nou-c(gender=f|m,number=sg)",4,4,954,142827
Het Nieuwsblad,mail,mail,"nou-c(gender=f|m,number=sg)",4,4,954,142827
Gazet van Antwerpen,mei,mei,nou-p(number=sg),4,4,229,28264
Gazet van Antwerpen,kardinaal,kardinaal,"nou-c(gender=f|m,number=sg)",4,4,229,28264
Het Nieuwsblad,ganzendrie,ganzendries,nou-c(number=pl),4,1,954,142827
Gazet van Antwerpen,minuut,minuut,"nou-c(gender=f|m,number=sg)",4,3,229,28264
De Ware Tijd,leerkracht,leerkracht,"nou-c(gender=f|m,number=sg)",4,2,76,28561
De Ware Tijd,weekend,weekend,"nou-c(gender=n,number=sg)",4,3,76,28561
Gazet van Antwerpen,houden,houdt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",4,4,229,28264
De Ware Tijd,luchthaven,luchthaven,"nou-c(gender=f|m,number=sg)",4,4,76,28561
Starnieuws,grens,grens,"nou-c(gender=f|m,number=sg)",4,2,11,3035
Het Nieuwsblad,afwachten,afwachten,vrb(finiteness=ger|inf),4,4,954,142827
De Ware Tijd,feit,feit,"nou-c(gender=n,number=sg)",4,3,76,28561
Het Nieuwsblad,herfst,herfst,"nou-c(gender=f|m,number=sg)",4,4,954,142827
Het Nieuwsblad,hobbykok,hobbykoks,nou-c(number=pl),4,2,954,142827
Het Nieuwsblad,memorial,memorial,nou-p(part-of-multiword=true),4,4,954,142827
Het Nieuwsblad,vierkant,vierkante,"aa(degree=pos,position=prenom,formal=infl-e)",4,4,954,142827
Het Nieuwsblad,hoeveel,hoeveel,"num(type=card,position=prenom)",4,4,954,142827
Het Nieuwsblad,jelle,jelle,nou-p(part-of-multiword=true),4,4,954,142827
De Ware Tijd,ander,anders,"aa(degree=pos,position=postnom,case=gen,formal=infl-s)",4,4,76,28561
Het Nieuwsblad,hofstraat,hofstraat,nou-p(number=sg),4,4,954,142827
De Standaard,duidelijkheid,duidelijkheid,"nou-c(gender=f|m,number=sg)",4,4,148,48749
Het Nieuwsblad,commissie,commissie,"nou-c(gender=f|m,number=sg)",4,4,954,142827
De Ware Tijd,politiefunctionaris,politiefunctionaris,"nou-c(gender=f|m,number=sg)",4,2,76,28561
De Ware Tijd,2009,2009,"num(type=card,position=oth|pred)",4,3,76,28561
Het Belang van Limburg,alles,alles,"pd(type=indef,position=pron)",4,3,81,8993
De Ware Tijd,verzorgen,verzorgde,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",4,4,76,28561
De Ware Tijd,wan,wan,nou-p(part-of-multiword=true),4,2,76,28561
De Ware Tijd,afstand,afstand,"nou-c(gender=f|m,number=sg)",4,4,76,28561
Het Nieuwsblad,fit,fit,"aa(degree=pos,position=adv|pred)",4,4,954,142827
Het Belang van Limburg,2010,2010,"num(type=card,position=oth|pred)",4,3,81,8993
Gazet van Antwerpen,plant,planten,nou-c(number=pl),4,3,229,28264
Het Nieuwsblad,succes,successen,nou-c(number=pl),4,4,954,142827
Het Nieuwsblad,vocht,vocht,nou-p(part-of-multiword=true),4,2,954,142827
Het Nieuwsblad,topeditie,topeditie,"nou-c(gender=f|m,number=sg)",4,2,954,142827
De Ware Tijd,zover,zover,adv(),4,4,76,28561
De Ware Tijd,samuel,samuel,nou-p(part-of-multiword=true),4,4,76,28561
Het Nieuwsblad,kennen,kenden,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",4,4,954,142827
Het Nieuwsblad,opeens,opeens,adv(),4,4,954,142827
Het Nieuwsblad,hangen,hangen,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",4,3,954,142827
Het Nieuwsblad,afzakken,afgezakt,"vrb(finiteness=part,tense=past)",4,4,954,142827
De Ware Tijd,middellang,middellange,"aa(degree=pos,position=prenom,formal=infl-e)",4,2,76,28561
De Standaard,karel,karel,nou-p(part-of-multiword=true),4,3,148,48749
De Standaard,breken,brak,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",4,4,148,48749
Het Nieuwsblad,verkeerslicht,verkeerslichten,nou-c(number=pl),4,3,954,142827
Het Nieuwsblad,opknapbeurt,opknapbeurt,"nou-c(gender=f|m,number=sg)",4,3,954,142827
Het Nieuwsblad,willen,wilt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",4,4,954,142827
De Standaard,kopen,kopen,vrb(finiteness=ger|inf),4,4,148,48749
De Standaard,initiatief,initiatief,"nou-c(gender=n,number=sg)",4,4,148,48749
Het Nieuwsblad,gravenwezel,gravenwezel,nou-p(part-of-multiword=true),4,2,954,142827
Het Nieuwsblad,kenzo,kenzo,nou-p(part-of-multiword=true),4,1,954,142827
Het Nieuwsblad,stabiel,stabiel,"aa(degree=pos,position=adv|pred)",4,3,954,142827
Het Nieuwsblad,single,single,"nou-c(gender=f|m,number=sg)",4,2,954,142827
Het Nieuwsblad,regelen,regelen,vrb(finiteness=ger|inf),4,4,954,142827
De Ware Tijd,5,5,"num(type=card,position=oth|pred)",4,4,76,28561
Gazet van Antwerpen,openen,opent,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",4,4,229,28264
Het Nieuwsblad,voorhand,voorhand,"nou-c(gender=f|m,number=sg)",4,4,954,142827
Het Nieuwsblad,sint-jozef,sint-jozef,nou-p(number=sg),4,1,954,142827
Gazet van Antwerpen,gevolg,gevolg,"nou-c(gender=n,number=sg)",4,4,229,28264
Het Nieuwsblad,combinatie,combinatie,"nou-c(gender=f|m,number=sg)",4,4,954,142827
Het Nieuwsblad,scheirlinck,scheirlinck,nou-p(number=sg),4,3,954,142827
De Ware Tijd,prendergast,prendergast,nou-p(part-of-multiword=true),4,2,76,28561
De Ware Tijd,voedselvergiftiging,voedselvergiftiging,"nou-c(gender=f|m,number=sg)",4,2,76,28561
Gazet van Antwerpen,pierre,pierre,res(type=for),4,4,229,28264
Gazet van Antwerpen,acteur,acteur,"nou-c(gender=f|m,number=sg)",4,2,229,28264
De Ware Tijd,gereed,gereed,"aa(degree=pos,position=adv|pred)",4,4,76,28561
De Standaard,wedstrijd,wedstrijden,nou-c(number=pl),4,4,148,48749
Het Nieuwsblad,delen,deelde,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",4,4,954,142827
Het Nieuwsblad,thompson,thompson,nou-p(part-of-multiword=true),4,3,954,142827
Het Nieuwsblad,moed,moed,"nou-c(gender=f|m,number=sg)",4,4,954,142827
Het Nieuwsblad,nabij,nabij,"aa(degree=pos,position=adv|pred)",4,4,954,142827
De Ware Tijd,10,10,"num(type=card,position=oth|pred)",4,4,76,28561
Het Nieuwsblad,beheerder,beheerder,"nou-c(gender=f|m,number=sg)",4,4,954,142827
De Ware Tijd,all,all,res(type=for),4,2,76,28561
Het Nieuwsblad,noorden,noorden,"nou-c(gender=n,number=sg)",4,4,954,142827
De Ware Tijd,eerste,eerste,"nou-c(gender=f|m|n,number=sg)",4,4,76,28561
De Standaard,bezoek,bezoek,"nou-c(gender=n,number=sg)",4,4,148,48749
De Standaard,dramatisch,dramatische,"aa(degree=pos,position=prenom,formal=infl-e)",4,4,148,48749
De Standaard,dief,dieven,nou-c(number=pl),4,1,148,48749
Het Nieuwsblad,bestemming,bestemming,"nou-c(gender=f|m,number=sg)",4,4,954,142827
De Ware Tijd,actie,acties,nou-c(number=pl),4,2,76,28561
Het Nieuwsblad,verkrijgbaar,verkrijgbaar,"aa(degree=pos,position=adv|pred)",4,4,954,142827
De Ware Tijd,3-5,3-5,res(type=sym),4,2,76,28561
Het Belang van Limburg,hoe,hoe,adv(),4,4,81,8993
De Standaard,oorlog,oorlog,"nou-c(gender=f|m,number=sg)",4,3,148,48749
Het Nieuwsblad,goederen,goederen,nou-c(number=pl),4,2,954,142827
De Standaard,huurwoning,huurwoningen,nou-c(number=pl),4,1,148,48749
Het Nieuwsblad,bs,bs,nou-p(part-of-multiword=true),4,1,954,142827
Gazet van Antwerpen,rekening,rekening,"nou-c(gender=f|m,number=sg)",4,4,229,28264
Het Nieuwsblad,sint-martens-latem,sint-martens-latem,nou-p(number=sg),4,1,954,142827
De Ware Tijd,oplopen,opgelopen,"vrb(finiteness=part,tense=past)",4,4,76,28561
De Ware Tijd,harold,harold,nou-p(part-of-multiword=true),4,2,76,28561
De Standaard,functie,functie,"nou-c(gender=f|m,number=sg)",4,3,148,48749
Gazet van Antwerpen,voldoende,voldoende,"aa(degree=pos,position=adv|pred)",4,3,229,28264
Gazet van Antwerpen,leiden,leiden,vrb(finiteness=ger|inf),4,4,229,28264
De Standaard,opmerken,opgemerkt,"vrb(finiteness=part,tense=past)",4,3,148,48749
De Ware Tijd,krutu,krutu,"nou-c(gender=f|m,number=sg)",4,4,76,28561
De Standaard,duizend,duizenden,nou-c(number=pl),4,4,148,48749
Gazet van Antwerpen,verenigd,verenigde,"aa(position=prenom,formal=infl-e,degree=pos)",4,4,229,28264
De Ware Tijd,moment,momenten,nou-c(number=pl),4,4,76,28561
De Standaard,world,world,res(type=for),4,3,148,48749
Het Nieuwsblad,ultiem,ultieme,"aa(degree=pos,position=prenom,formal=infl-e)",4,4,954,142827
De Ware Tijd,fel,felle,"aa(degree=pos,position=prenom,formal=infl-e)",4,2,76,28561
Gazet van Antwerpen,hulpdienst,hulpdiensten,nou-c(number=pl),4,4,229,28264
De Standaard,alzheimer,alzheimer,"nou-c(gender=f|m,number=sg)",4,1,148,48749
Het Belang van Limburg,zij,hen,"pd(type=pers,person=3,number=pl,position=pron,case=acc|dat)",4,4,81,8993
De Ware Tijd,zenuw,zenuwen,nou-c(number=pl),4,2,76,28561
De Ware Tijd,martina,martina,nou-p(part-of-multiword=true),4,4,76,28561
Het Nieuwsblad,directeur,directeur,"nou-c(gender=f|m,number=sg)",4,3,954,142827
Gazet van Antwerpen,aannemer,aannemer,"nou-c(gender=f|m,number=sg)",4,2,229,28264
Het Nieuwsblad,afronden,afgerond,"vrb(finiteness=part,tense=past)",4,4,954,142827
De Ware Tijd,and,and,res(type=for),4,4,76,28561
Het Nieuwsblad,tiental,tiental,"nou-c(gender=n,number=sg)",4,3,954,142827
De Ware Tijd,famiri,famiri,nou-p(part-of-multiword=true),4,2,76,28561
De Ware Tijd,urbanisatie,urbanisatie,"nou-c(gender=f|m,number=sg)",4,2,76,28561
Het Nieuwsblad,franky,franky,nou-p(part-of-multiword=true),4,3,954,142827
De Standaard,trainen,trainde,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",4,3,148,48749
De Ware Tijd,carrier,carrier,"nou-c(gender=f|m,number=sg)",4,2,76,28561
Het Nieuwsblad,sluiten,sluiten,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",4,4,954,142827
Het Nieuwsblad,veldstraat,veldstraat,nou-p(number=sg),4,2,954,142827
De Ware Tijd,general,general,res(type=for),4,2,76,28561
Gazet van Antwerpen,directeur,directeur,"nou-c(gender=f|m,number=sg)",4,4,229,28264
Het Nieuwsblad,rood,rood,"aa(degree=pos,position=prenom)",4,4,954,142827
De Standaard,stap,stap,"nou-c(gender=f|m,number=sg)",4,4,148,48749
Het Nieuwsblad,knop,knop,"nou-c(gender=f|m,number=sg)",4,4,954,142827
Het Nieuwsblad,kathleen,kathleen,nou-p(part-of-multiword=true),4,2,954,142827
De Ware Tijd,volgend,volgende,"aa(degree=pos,position=prenom,formal=infl-e)",4,4,76,28561
Het Nieuwsblad,01,01,res(type=sym),4,4,954,142827
Gazet van Antwerpen,regio,regio,"nou-c(gender=f|m,number=sg)",4,4,229,28264
Het Nieuwsblad,ontvangen,ontving,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",4,4,954,142827
De Standaard,financiering,financiering,"nou-c(gender=f|m,number=sg)",4,3,148,48749
Gazet van Antwerpen,n16,n16,res(type=sym),4,2,229,28264
Het Nieuwsblad,terecht,terecht,adv(),4,4,954,142827
Het Belang van Limburg,organiseren,organiseert,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",4,4,81,8993
Het Nieuwsblad,rusas,rusas,nou-p(number=sg),4,3,954,142827
De Ware Tijd,binnenkort,binnenkort,adv(),4,2,76,28561
Het Nieuwsblad,kortrijkstraat,kortrijkstraat,nou-p(number=sg),4,3,954,142827
Gazet van Antwerpen,stellen,stelden,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",4,3,229,28264
Het Nieuwsblad,moestuin,moestuin,"nou-c(gender=f|m,number=sg)",4,2,954,142827
Starnieuws,kwestie,kwestie,"nou-c(gender=f|m,number=sg)",4,2,11,3035
Het Nieuwsblad,tremelo,tremelo,nou-p(number=sg),4,3,954,142827
Starnieuws,nps,nps,nou-p(number=sg),4,1,11,3035
Het Nieuwsblad,beleidsplan,beleidsplan,"nou-c(gender=n,number=sg)",4,1,954,142827
Het Nieuwsblad,tactisch,tactische,"aa(degree=pos,position=prenom,formal=infl-e)",4,3,954,142827
De Standaard,louis,louis,nou-p(part-of-multiword=true),4,4,148,48749
Het Nieuwsblad,1-2,1-2,"num(type=card,position=oth|pred)",4,4,954,142827
De Ware Tijd,vragen,vragen,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",4,4,76,28561
De Ware Tijd,real,real,"pd(type=indef,position=prenom)",4,2,76,28561
De Standaard,lannoo,lannoo,nou-p(number=sg),4,1,148,48749
De Standaard,niveau,niveau,"nou-c(gender=n,number=sg)",4,4,148,48749
Het Nieuwsblad,fvm,fvm,nou-p(number=sg),4,4,954,142827
De Ware Tijd,inspanning,inspanningen,nou-c(number=pl),4,2,76,28561
Het Nieuwsblad,bonheiden,bonheiden,nou-p(number=sg),4,2,954,142827
De Standaard,stedelijk,stedelijke,"aa(degree=pos,position=prenom,formal=infl-e)",4,3,148,48749
Het Nieuwsblad,alvorens,alvorens,conj(type=sub),4,4,954,142827
Het Belang van Limburg,mogelijk,mogelijk,"aa(degree=pos,position=adv|pred)",4,4,81,8993
Gazet van Antwerpen,24,24,"num(type=card,position=oth|pred)",4,3,229,28264
Het Nieuwsblad,automatisch,automatisch,"aa(degree=pos,position=adv|pred)",4,4,954,142827
Het Belang van Limburg,meter,meter,"nou-c(gender=f|m,number=sg)",4,3,81,8993
De Ware Tijd,gezicht,gezicht,"nou-c(gender=n,number=sg)",4,4,76,28561
